	Tweets	Date	Source	Likes	RTs
67	"So Stan Lee and Steven Hillenburg passed away recently... And a tornado touched down in Italy 2 days ago...

The fu… https://t.co/4XXVwsvDS6"	2018-11-28 16:27:01	Twitter Web Client	1	0
68	With the recent passing of Stan Lee, the creator of Marvel comics most famous superheroes, our latest blog takes a… https://t.co/QLbBBtV628	2018-11-28 16:25:55	Twitter Web Client	0	0
69	@JeffreyDBentley I didn’t see your Stan Lee tribute, I hadn’t found you on here yet at the time. I’ve bookmarked it… https://t.co/RjCaIwqVb6	2018-11-28 16:25:39	Twitter for iPhone	1	0
70	@danierruu @MacMiller Stan Lee!!!	2018-11-28 16:25:31	Twitter for Android	0	0
71	o stan lee aparece em runaways kkkkm	2018-11-28 16:25:16	Twitter for Android	0	0
72	So, not only has Stan Lee died, but Stephen Hillenburg too? What a world :/	2018-11-28 16:24:30	Twitter for iPhone	0	0
73	Mac, Stan Lee, now the creator of Spongebob... 2018 taking too fucking much bruh	2018-11-28 16:24:03	Twitter for iPhone	2	1
74	First stan lee now Hillenburg?? Gonna rep Hillenburg here at Humboldt	2018-11-28 16:23:22	Twitter for iPhone	1	0
75	I'm the Stan Lee of this generation now. #RipTheGoat	2018-11-28 16:23:20	Twitter for Android	0	0
76	@LeagueOfLegends  and @Marvel are doing a comic! Praying for a Stan Lee Sin skin...	2018-11-28 16:23:19	Twitter Web Client	0	0
77	Heart, Respiratory Failure Revealed As Cause Of Stan Lee’s Cause Death https://t.co/pc52LtSX22 https://t.co/nm1I88dndY	2018-11-28 16:22:54	WordPress.com	0	0
78	Stan Lee dies and Wakanda crumbles 😭🤣 https://t.co/rWUuLG9y8S	2018-11-28 16:22:43	Twitter for iPhone	2	1
79	@Gillster37 Thank you for the Stan Lee post!👍🐒	2018-11-28 16:21:30	Twitter for iPhone	0	0
80	"@Ninja @Pusherplayer16 You gonna say that and you had your stream title ""rip Stan Lee also btw new merch buy now"""	2018-11-28 16:21:28	Twitter for Android	0	0
81	"news: stan lee has died.
kpop twitter: DID SOMEONE SAY STAN??!!?!? *bts gif*"	2018-11-28 16:21:02	Twitter for Android	0	0
82	New Episode of The Beard and The Bald is up! Now on YouTube, iTunes and Blog Talk Radio! #Aquaman reaction #Creed2… https://t.co/dTqs6iL5ne	2018-11-28 16:20:50	TweetDeck	5	2
83	@yieldright @mowoodier @DeebsFLA @Machovell1an @Flahutin Eheh, I see what you did with that. I read Stan Lee's biog… https://t.co/OECtDD0f41	2018-11-28 16:19:07	Twitter Web Client	3	1
84	@JeffreyDBentley Man, we just watched Spider-Man Homecoming last week, first MCU film I watched since Stan Lee pass… https://t.co/KlSPeYdlCf	2018-11-28 16:18:47	Twitter for iPhone	1	0
85	"We lost some powerful Creatives this year

Mac Miller
Stan Lee
Stephen Hillenburg 
🙏🏾🙏🏾🙏🏾"	2018-11-28 16:18:37	Twitter for iPhone	1	0
86	"Be sure to head on over to our friends at Hill Country Comic Con and enter for a chance to a Stan ""The Man"" Lee aut… https://t.co/3JnP3rthHf"	2018-11-28 16:18:25	Instagram	0	0
87	Marvel Comics creator Stan Lee's cause of death revealed – True Pundit https://t.co/xZuiwQCAGc	2018-11-28 16:18:06	Twitter Web Client	0	0
88	.TheRealStanLee died from heart and respiratory failure, according to his death certificate https://t.co/Rm0TFNjkkf	2018-11-28 16:17:24	IFTTT	0	0
89	Stan Lee's cause of death has been revealed. Lee died November 12 due to what the medical literature describes as b… https://t.co/93s13bg4DV	2018-11-28 16:16:52	Twitter Web Client	0	0
90	Geek History Lesson #235 - Best Stan Lee Characters with Jonathan London - https://t.co/Rcn7LT08iy https://t.co/tlMvnfRHkI	2018-11-28 16:16:06	CoSchedule	0	0
91	@realLYZAgh @KofiBlakGh Stan Lee was my grandad. 💅🏽😹😹	2018-11-28 16:15:14	Twitter for iPhone	0	0
92	The Stan #Lee way of managing #creative people: keep them busy and drop the censorship https://t.co/smWyjRKTTm @HarvardBiz	2018-11-28 16:15:00	Buffer	0	0
93	"@PSN_ElectricDC Thank you!
I can still hear Stan Lee's voice talking to you as the intro loaded everything up. 😊"	2018-11-28 16:13:51	Twitter for Android	1	0
94	Demais Stan Lee https://t.co/jlUFErRZOZ	2018-11-28 16:13:31	Twitter for Android	1	0
95	.@philiplord and @chrizmillr, screenwriters and producers of #SpiderMan: #IntoTheSpiderVerse, hint that there's a n… https://t.co/8RFvdaasPP	2018-11-28 16:13:23	Twitter Media Studio	17	3
96	Marvel Comic Creator Stan Lee’s Cause Of Death Revealed! https://t.co/kOjUykp3ti https://t.co/LSgunRmgdv	2018-11-28 16:12:50	dlvr.it	0	0
97	I liked a @YouTube video https://t.co/gJJuhmHBJG Bill Maher Insults Stan Lee Fans Again, Lies, and Looks Dumb	2018-11-28 16:12:01	Google	0	0
98	2018 Took Stan Lee, my marriage, and sponge Bob from me! January 1st can't get here faster  #Fuck2018	2018-11-28 16:11:30	Twitter for Android	0	0
99	"You know by the end of 2018 everyone is gonna be hating on the year saying “2018 took Stan Lee!!” Etc. 
Get over yourself. Time isn’t real."	2018-11-28 16:11:24	Twitter for iPhone	2	0
100	Stan Lee Cameos: An Icon We Will NEVER Forget https://t.co/WPZD9JqNOV https://t.co/9cFIS5tsSo	2018-11-28 16:11:08	dlvr.it	0	0
101	Marvel Universe Creator Stan Lee Dead at 95 https://t.co/MBb5ukILzQ https://t.co/EASe1yf7d3	2018-11-28 16:11:05	dlvr.it	0	0
102	damn lee pace couldve been kylo? mayhaps in that alternate timeline i wouldve been a kylo stan	2018-11-28 16:10:52	Twitter for iPhone	4	2
103	"Done watching #WreckItRalph2 #RalphBreaksTheInternet 
Much better story than 1st one.
Awareness about cyber bullyin… https://t.co/c9tXpfz2u7"	2018-11-28 16:10:46	Twitter for Android	0	0
104	the scariest part about growing up is watching the creators of your best friends pass away. Stan Lee had me sad, bu… https://t.co/5aOWvCOdpD	2018-11-28 16:10:30	Twitter for iPhone	1	0
105	Rest in Paradise Stan Lee &amp; Stephen Hilenburg they created a whole Different universe of imaginations big thank you… https://t.co/Y12TNDXgBB	2018-11-28 16:10:07	Twitter for iPhone	0	0
106	What if Stan Lee died cause Riot and Marvel have a collab now and the Cancer of League was to much for him	2018-11-28 16:09:26	Twitter for Android	1	1
107	.@TheRealStanLee died from heart and respiratory failure, according to his death certificate https://t.co/mvJdxDxic5	2018-11-28 16:08:58	Business Insider Login	13	3
108	Stan Lee’s Cause Of Death Revealed https://t.co/tLXStyZvqZ https://t.co/DcT6dcH6Sd	2018-11-28 16:08:24	WordPress.com	0	0
109	"We lost Stephen Hawking..then Stan Lee..then Stephen Hillenburg...
Geniuses that created something so impactful to society."	2018-11-28 16:08:22	Twitter for Android	0	0
110	Wow 2018 worst year for deaths, We lost Stan Lee, MAC Miller, XXX, Aretha Franklin, and even the dude that made the… https://t.co/TxxGhPc8qP	2018-11-28 16:07:57	Twitter for iPhone	0	0
